travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,Airlines,year,month
Couple Leisure,Economy Class,London to Mumbai,2023-10-01,3.0,1.0,4.0,1.0,4.0,2.0,0,3.0,"   I recently flew with Air India and wanted to share my experience. The service was good, and the food was okay, but my 8-hour flight was marred by the fact that half of the screens weren't working, leaving me without any entertainment. It made the journey quite hectic, and I'm now concerned about my return flight. Despite assurances from the staff that they would reset the system, no one came back to check if it worked. I'm hesitant to fly with Air India again and wouldn't recommend it to others.",Vistara,2023,10
Solo Leisure,Economy Class,Dubai to Delhi,2023-10-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   Air India agents were extremely rude and almost got pushed by an agent at the gate owing to some extra weight in carry on. They were unprofessional and unaccommodating. They were bickering at other customers in the line. If given a chance, I’d never fly Air India and would neither recommend it to friends and family. The worst airline to fly.",Vistara,2023,10
Business,Economy Class,Dubai to Delhi,2023-10-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,   Air India Dubai sector is strictly avoidable. The flights never run on time. Everything sucks. Punctuality. Access to customer care. Ease to cancel tickets. Just nothing is right,Vistara,2023,10
Couple Leisure,Economy Class,New Delhi to San Francisco ,2023-09-01,1.0,1.0,2.0,2.0,1.0,1.0,0,2.0," My family and I have consistently had disappointing experiences when traveling with Air India. This time, it was my parents' first trip from New Delhi to San Francisco, leaving much to be desired. I had explicitly booked extra legroom seats for my parents, as it was a gruelling 16-hour flight, and I paid for these seats when I booked the tickets. However, upon boarding the plane, my parents were assigned seats in the middle section, as the extra legroom seats they had paid for had been given to other passengers who made a last-minute payment for those seats at the airport. This was not an isolated incident. A similar situation occurred in 2022 when my husband and brother traveled from New Delhi to San Francisco. To their surprise, their extra legroom seats were also sold to other passengers during check-in. It's evident that this is not a mere mistake but a recurring issue. It's deeply concerning that Air India's ground staff and crew members seem complicit in this practice. It appears they are profiting from this by allowing passengers to book extra legroom seats online, only to resell the same seats for additional rupees to other passengers during check-in. My parents were left with no other options, and the crew members displayed extreme rudeness by suggesting that my parents deboard and resolve the issue at the check-in counter. This is a clear indication that there's a systemic problem within Air India, and this practice is tarnishing the airline's reputation. To make matters worse, I applied for a refund, but Air India never refunded the money my parents paid for these extra legroom seats. This entire experience has left us deeply disappointed and frustrated, and it raises serious questions about the integrity and customer service standards of Air India. Such practices are unethical and damaging to the airline's reputation. Air India must take immediate action to rectify these issues and ensure that passengers receive the services they pay for and are entitled to.",Vistara,2023,9
Family Leisure,Economy Class,New York to Delhi,2023-10-01,1.0,1.0,1.0,1.0,3.0,1.0,0,2.0,"   Staff is stubborn with deaf ear. Water is served as if last bottle in the world, hot coffee is cold. Food quality is poor & spicy. Seat monitors don’t function and aircraft are too old. Spend your money on other airlines where people take care of you. My last flight with them.",Vistara,2023,10
Couple Leisure,Economy Class,Birmingham to Amritsar via New Dehli,2023-09-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Flight landed 3 hours 25 mins late at final destination Amritsar airport Punjab. They won’t acknowledge any responsibility and flat deny any sort of compensation. The Aviation authorities clearly state any flight delayed by three hours (unless weather issues) or landing over three hours late is a case for possible compensation. This airline don’t want to communicate, just keep sending you automated emails, nobody will talk to you and more worrying than that is their planes are falling apart, no proper maintenance carried out. I wouldn’t fly with Air India if it was free. Be aware of this airline.",Vistara,2023,9
Couple Leisure,Economy Class,Bombay to Dubai ,2023-10-01,1.0,1.0,3.0,1.0,1.0,1.0,0,1.0,"   The flight was supposed to take off at 8.25am but due to technical issues it kept getting delayed. The problem here is that there was no clarification from the staff as to what was happening. The flight took off at 12 pm. As per the rules we were supposed to get a free meal but were provided only a bottle of water. The seat of the aircraft was stinking, inflight entertainment system was not working. The staff on the aircraft looked disinterested in doing their job. Not a good experience.",Vistara,2023,10
Solo Leisure,Economy Class,Delhi to Paris via Mumbai,2023-09-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," At the check in counter - I was allowed extra baggage and the person was very sweet. He understood the fact I was travelling for an internship. 10 mins before boarding - I was randomly asked to weigh my bags and to pay 14,000 INR extra because of extra luggage (which was pre-approved). In the end I was charged the money just because the flight had to take off. I do not know if this was a game right from the check-in counter.",Vistara,2023,9
Solo Leisure,Economy Class,Delhi to London,2023-09-01,1.0,2.0,4.0,1.0,2.0,3.0,0,3.0,"  I had a very disappointing experience with Air India, I thought after taking over from the Government the service would have improved however, still long check-in queues and unfriendly staff at check-in desks. I had a flight from Delhi to London and my internal flight entertainment system was broken. Sadly, instead of providing support I was told that ”sir I can confirm it won’t work”. Also, I was only allowed 3 can of beers on a 8 hour flight, I was told due to airline regulations they can’t offer me more. I will not fly again with them.",Vistara,2023,9
Family Leisure,Economy Class,Toronto to Cochin via Delhi,2023-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  This review is regarding my recent round-trip experience on Air India flights from Toronto to Delhi and back. To begin with, the aircraft on both journeys appeared to be in a state of disrepair. The seats were worn out, uncomfortable, and lacked proper cushioning. The tray tables were broken in several instances, making it difficult to utilize them for any purpose. The in-flight entertainment system, or lack thereof, was another major issue. On both flights, the screens were either malfunctioning or next to non-existent. My family was left with no entertainment options during the entire duration of the journey, which was particularly disheartening considering the long hours spent onboard. Moreover, the meal service on these flights was subpar. The food quality was far from satisfactory, with unappetizing taste and limited options. As a vegetarian, I found the lack of suitable choices even more disappointing. It is essential to ensure that passengers are adequately catered to, especially during long-haul flights, where a comfortable and satisfying meal can significantly improve the overall experience.",Vistara,2023,6
Solo Leisure,Economy Class,Bangkok to Birmingham via Delhi,2023-09-01,4.0,2.0,3.0,2.0,1.0,3.0,0,2.0,  Staff on both flights were poorly trained.  It took them 90 minutes to start the now infamous entertainment system. Meals were average. Tasty. Ground staff in new Delhi the very worst one could meet. I requested a wheelchair. The pusher couldn't find my gate info. Clueless. Transit security was a nightmare. Very poor communication. English is an official language in India?  Not in new Delhi airport. I was taken to the wrong gate and left there. I had no way of moving this chair. Not a self propel wheelchair.  BHX baggage 1 hour I assumed my suitcase was lost. It was removed from the belt! Sitting in a wheelchair gave me no visibility. The wheelchair pusher vanished.  BHX was an awful experience. New Delhi was even worse. The Boeing 787-8 was old. Original fittings.,Vistara,2023,9
Family Leisure,Economy Class,Singapore to Kathmandu via Delhi,2023-09-01,2.0,1.0,3.0,1.0,1.0,1.0,0,1.0,"  Our flight was reassigned to another route (our plane to Delhi on September 9th past midnight was given to Mumbai flight), decision was made at the gate. All Delhi passengers were stranded. No lounge or compensation was given. We were then made to fan on our own to fight for the morning 8.30am flight. No assistance was provided. Some did not even get tickets to the 8.30 flight The flight was full. As a result of our 8 hour delay. We missed our connecting flight to Kathmandu. At Delhi, again no arrangements were made for us. We had to do it ourselves and had to ensure our baggages were also rightfully transferred to the new arranged flight more thank 6 hours later -  stranded another 6 hours in Delhi. We fought for some rest and sleep for lounge access. None was given, after much argument. Only a veg lunch voucher was given, estimated 450rp per person (there were 3 of us). In all of this no one apologised. The duty personnel in Changi Airport on the 9th past midnight to early morning 8.30am at the gate were hopeless and offered no sympathy or help. No one from Air India were at the transfer desk at 6am that morning to arrange for the new boarding passes. It was all left to Changi Airport staff to assist (and they were also clueless what was happening.  We were lied that we were to be placed on the 2.40am SQ flight to Delhi. In India upon landing, the Air India staff were clueless too. They even can tell us the midnight flight to Delhi did take off as per their system.  Following this I wrote at least 4 emails to vent my anger. All I received was a cancellation letter of my flight. I had hope and requested for a better treatment of our return flight back to Singapore on the 24th of September from Kathmandu. I received an email 8 hours b4 the flight mentioning my request for some comfort and upgrades will be looked at. At the airport in Kathmandu on 24th I showed to duty manager and supervisor he literally said our requests will be done in Delhi.  In Delhi nothing was done. No one knew nothing and we just gave up by then. By the way what a horrible flight AI382 was, no entertainment system!",Vistara,2023,9
Family Leisure,Economy Class,Amsterdam to Sydney via New Delhi,2023-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Air India is the most horrible airline I have ever flown. We were on 3 10+ hour flights (with a child) and had no entertainment system that worked. When we asked about it the stewards said that they would check it, they never did. Then I asked again and again, somebody promised us new seats, but never did she come back. It was also very smelly (like urine) in the plane, the light in the toilet didn't work and it would not flush properly. Some of the seats didn't even recline. At the airport in New Delhi staff was very rude and it was very chaotic! I will never ever choose Air India again!",Vistara,2023,7
Solo Leisure,Economy Class,Hyderabad to New York ,2023-09-01,1.0,2.0,1.0,1.0,1.0,1.0,0,3.0,"  The food quality has deteriorated no choice, its like we have this take it or leave it, have seen many passengers just avoiding the meals, service is very bad, attendants are very rude, if you call for an attendant during the flight no one comes. They only focus on business calls, the seats are uncomfortable the entertainment system has no choice of movies very limited, they need to update. We thought the Air India since being taken over by Tata were expecting some good changes but its getting bad, they need to make some changes.",Vistara,2023,9
Family Leisure,Economy Class,London to Mumbai,2023-09-01,2.0,3.0,2.0,1.0,1.0,1.0,0,2.0, When I booked I requested a wheel chair for my parents. My dad has poor vision. Pathetic service at Mumbai airport - nobody come to help. My dad (age 75) and mum (73) both have walk towards luggage collection by themselves. Worst service - never going to use Air India again.,Vistara,2023,9
Solo Leisure,Economy Class,Delhi to Sydney,2023-09-01,2.0,1.0,2.0,1.0,1.0,1.0,0,2.0, Air India experience is very bad from airport check in to on board services. Paid $1400 AUD one way. Took 90 minutes for check in for 3 people at Delhi airport. Paid extra for Aisle seat but no In-flight entertainment. No overhead light working or call crew button working throughout the flight. Flight took off with one overhead luggage open. In 13 hour flight no water tea/coffee service at seat beside main meal. Need to go to crew area to fetch it. Indian meal food option used of western desserts.,Vistara,2023,9
Solo Leisure,Economy Class,Delhi to Frankfurt,2023-09-01,2.0,3.0,3.0,1.0,1.0,1.0,0,1.0,"  I hate Air India for accepting me 10kgs while check-in and after mentioning the very important point in small letters that ""only 8kgs is permitted including duty free products"" that obviously anyone can miss. Are you guys seriously following this while entering to the flight after security is being done? I visited India after 1.5 years and was talking sweets with me to Berlin from the duty free products for which there was a rule ""it wasn't included!"". But suddenly Air India have to weigh after security is done just to earn money! Staff members at the gate were so excited to earn 4500 Rs per kg for 5kgs overweight in the hand luggage that was increased when I brought Duty Free. I have seen now Air India has downgraded its royalty in my eyes. The employees at the gate asked me to throw all the stuff including the sweets. From now on I will never choose Air India.",Vistara,2023,9
Solo Leisure,Economy Class,London to New Delhi,2023-07-01,3.0,3.0,1.0,1.0,1.0,1.0,0,1.0," Worst experience in my life, I have to go to Cochin to see my mother who is under ventilation, I changed my flight from 23rd to 20th to go urgently. We waited at the gate for 9 hours, and finally they told us the flight is cancelled and will be ready the next day, same thing happened and finally I have to take another flight from Gatwick to continue my journey. From the fellow passengers I understand this is not the first time happening, its an ongoing thing with Air India. Don't use Air India if you want to reach your destination on time. For my case I had to spend 3 days in the airport. The airport staff all telling lies and never provide details about the flight. Flights like Air India need to be banned flying from UK.",Vistara,2023,7
Family Leisure,Economy Class,Aurangabad to Delhi,2023-09-01,3.0,3.0,3.0,3.0,3.0,4.0,1,4.0,"  I recently travelled Air India AI444 on 22nd September with my family. We had booked seats 17A,17B,17C. When we issued our boarding passes online, we got the same seats as we should. However, the boarding passes issued by the Aurangabad airport staff changed our seat numbers as 25D,25E,25F. This is a bit strange and annoying since this was done without our knowledge.",Vistara,2023,9
Solo Leisure,Economy Class,London to Goa via Delhi,2023-09-01,1.0,2.0,5.0,2.0,1.0,1.0,0,2.0,  Worst airline I traveled with in my life. After flight got canceled no communications from airlines. Just dumped in hotel and no contact given or taken. At Delhi Airport we were asked to pay for hand baggage for the stuff I purchased from duty free.,Vistara,2023,9
Family Leisure,Economy Class,Toronto to Delhi ,2023-09-01,1.0,2.0,1.0,1.0,1.0,2.0,0,2.0,"  Flew AI 188 from Toronto to Delhi on 17 Sept 23. Firstly they combined two days flights. The flight was delayed from Toronto due at 1215 PM to 2330 hrs. A delay of 11 and half hours. To start with we had a harrowing time to check in with so many passengers due to the combined flight. Reason given to us was Operational Reasons. It took nearly three and half hours. Then my screen on 33 A was not working. The Steward promised magazines to read but then went missing throughout the flight. The seat was broken. The food was terrible. The dry bun in food was not edible. They offered to give me free drinks, which I did not want. ",Vistara,2023,9
Family Leisure,Economy Class,Delhi to Tel Aviv,2023-09-01,1.0,3.0,4.0,2.0,1.0,1.0,0,1.0,"  Our flight was canceled without any note from Air India. We even got an invitation to online check in and did that without any note from the company that the flight is not going to depart. This is only the beginning of a story of a nightmare and irresponsibility of the Air India. The next flight was two days after and we were stuck in Delhi and they refused to cover the minimum of the hotel for two days (they only gave us refund for one night). They promised to refund the taxi back to the airport but this didn't happen as well. In the airport, they lost our new ticket and it took an hour to get it back. We spent hours to argue with the workers of the airline and it were not honest. They promised lot of things but they were tricking us with all kind of excuses that were not real (they said there isn't more ticket in an other flight, and indeed there were, they said the manager left home and indeed he was there, and so on). Bottom line - we had a lot of expenses due to Air India improper service. We paid one night hotel, the taxi to the airport, food and living expenses and of course we lost two days of work at home. We didn't even get answers to our refund mail query. We recommend to avoid any flight with Air India.  ",Vistara,2023,9
Couple Leisure,Economy Class,Delhi to Sydney,2023-09-01,2.0,3.0,3.0,1.0,1.0,1.0,0,3.0,"  First of all, my flight was delayed for about 5 hours with no notification. No announcements or indication was given on asking about the flight. They changed the gate 3 times without informing us, I was only able to know about this because I was constantly checking the information boards, while some old passengers were not able to do it and were struggling badly. Secondly, the screens don’t work at all in the flight, even if they work the remotes don’t work, which is a big problem in flights with long routes. The food was good, staff was nice but all these challenges make it hard for us to opt for Air India again as it is highly inconvenient. Thanks",Vistara,2023,9
Couple Leisure,Economy Class,San Francisco to Bangalore,2023-09-01,5.0,5.0,5.0,5.0,5.0,5.0,1,10.0, Just today morning I landed at Bangalore. Mine was a direct flight from San Francisco. I had an excellent comfortable journey and wanted to congratulate Air India for providing such a wonderful service. It had a very good leg room very comfortable seating. Very good food overall and a very good experience. Thanks a lot Air India,Vistara,2023,9
Family Leisure,Economy Class,Melbourne to Kathmandu via Delhi,2023-09-01,1.0,2.0,3.0,1.0,1.0,1.0,0,1.0,"  This is the worst flight service that someone can ever have. If you call customer service for some enquiry they just hang up the phone the between. They let you wait for 50 minutes just for the email confirmation and never get back to you even if you wait for like 10 hours. First of all the problem started when we boarded the flight, the flight was said to be delayed by 1 hour and after 1 hour another hour and after that another hour the flight gets delayed by another 3 hours and cancelled at last which gets rescheduled for another day.",Vistara,2023,9
Solo Leisure,Economy Class,Riyadh to Hyderabad,2023-09-01,1.0,1.0,3.0,1.0,3.0,1.0,0,1.0," It was my worst flight, will never travel Air India again. I'm 6 months pregnant, when I asked the cabin crew for a seat change as it was very uncomfortable for me to sit in that position for a long time they refused and didn't even bother to help my situation even though there were many seats available with wide leg spaces. Still they said no seat was available. It was very disappointing that they didn't help me as my back was hurting badly and I was feeling suffocated.",Vistara,2023,9
Business,Economy Class,Newark to Delhi,2023-09-01,1.0,4.0,3.0,1.0,3.0,2.0,0,3.0,"  This aircraft was in pretty bad shape. The armrests were broken and dirty. The remotes for the TVs didn’t work. Our TV was stuck on a white, bright light, the entire trip, making it unable for us to sleep. My tray table was broken and was unable to hold a tray of food without me holding it up with my other hand. Otherwise, the food would’ve spilled onto my lap. The staff was kind and nice. They served us properly. But the airplane itself was uncomfortable, unclean, and broken in many ways. The seats were old and uncomfortable. For a 13 hour flight, it was one of the worst experiences I’ve ever had. I fly to India annually & will not be taking this airline ever again.",Vistara,2023,9
Solo Leisure,Economy Class,Delhi to Melbourne via Kingsville,2023-09-01,2.0,4.0,3.0,1.0,2.0,1.0,0,2.0,"  First, the air conditioning of the aircraft was not working, so everyone was literally sweating for nearly 2 hours before take off. The pilot claims the ground technicians were trying to fix the fan but were not successful. The outside temperature was 34C on Sept 03/2023, you can imagine the inside temp without a fan. They could fix it before boarding passengers on the aircraft. It became fine after take off but was a long wait in a hot hot cabin. I should acknowledge that the helpful hostesses were handing a cup of water to people who wanted to drink at this time. Second, the entertainment channel and the electric outlet were not working the whole 12 hr flight. Some of the feeding tables were broken. Never seen such aircraft before.",Vistara,2023,9
Family Leisure,Economy Class,New Delhi to Dubai,2023-08-01,3.0,2.0,1.0,1.0,3.0,2.0,0,3.0,"  The food they serve is so bad,  no quality at all. Being morning flight, they served breakfast. I asked for 2 non-veg and 3 veg as we had 5 tickets. Non-veg means a sausage and an omelet. Omelet was overcooked and a weird smell. I haven’t had dare to taste the sausage as from my it’s looks you can make out what it will be.",Vistara,2023,8
Family Leisure,Economy Class,Vancouver to Delhi,2023-08-01,5.0,5.0,5.0,4.0,5.0,5.0,1,10.0," I traveled from Vancouver to Delhi on 29th August by Air India flight. After booking ticket and before traveling I was so depressed about this journey because of so many negative views about this airline. But everything was reverse while in the aircraft. I had an amazing experience. Plane was almost new. The most things forced me to write this views are the staff uniforms, their good service and amazing food quality. I talked to so many people during flight and found most of them fully satisfied. This flight experience cleared all my myths about Air India.",Vistara,2023,8
Family Leisure,Economy Class,Dubai to New Delhi,2023-08-01,5.0,4.0,1.0,1.0,1.0,3.0,0,4.0,"  Traveled from Dubai to Delhi on Aug 15th 2023, with economy class, as usual I am regular customer for AI. During my booking I booked Hindu meal for myself, as a Hindu religion Hindu meal means vegetarian if I am not wrong, some Hindu's can eat Beef as well but I am pure vegetarian even not eating egg as well. When I see they serve non vegetarian foods to me I called the Air hostess to change my meal from non veg to veg, I got vegetarian foods but along with food I get the comments from hostess, sir Hindu's are eating Beef, that’s none of my business. Either AI need to give options during the online booking for vegetarian foods along with without eggs foods. Screen not working looks like display, even washroom inside no tissue paper available, many areas broken from inside the washroom. This aircraft was a waste of money.",Vistara,2023,8
Solo Leisure,Economy Class,Delhi to Melburne,2023-08-01,1.0,3.0,1.0,1.0,2.0,1.0,0,2.0,"  The plane seemed terribly run down. USB ports were broken. Toilet seats in the 2 toilets that I used were broken. The entertainment system was not working at all. Several of the seats did not recline. It was a tough 14 hours. On top of this, I got a stomach bug about 4 hours after eating the palik peneer lunch. It seems they don't care about their plane, they don't care about their customers, they don't care about food hygiene. ",Vistara,2023,8
Family Leisure,Economy Class,Mumbai to Tokyo via Delhi,2023-08-01,3.0,4.0,3.0,2.0,1.0,1.0,0,2.0,"  My in-laws were booked to travel Mumbai to Tokyo via Delhi. The Flight AI687/07Aug BOM DEL departure was revised at 1800hrs without giving any reason to passengers. Due to the delayed departure of AI687/07Aug BOM DEL, they were rescheduled to fly on the next day after 24 hrs. Had AI staff tried and communicated with staff in Delhi, there was a possibility to be able to catch onward flight for Tokyo. But no such attempt was even tried by the staff. There were other direct flights from DEL-Tyo (ANA or JAL) on same day which could have been the next option. But no sincere attempts were made. As a result, my in-laws lost one complete day. They were then sent to hotel Sukh at Juhu. To travel to hotel it took 3 hrs taxi ride and while coming back it was 2 hrs. My in-laws started their Journey from Nashik at 6 am in morning and could only reach the hotel at 9 pm. It could have been so easily a hotel near airport. On second day (8-Aug), they were picked up at around 11:00 am and made to catch 3:30 pm flight without lunch being offered. The hotel even didn’t have basic facilities like soap availability. As a common traveler, I can easily understand that 4:00 pm flight being very important for travelers who connect to other international flights from Delhi. There should be alternative arrangements to make people catch the connecting flights. If it was known that 4:00 pm flight is going to be delayed and there is no other flight available until 6:00 pm, why efforts were not made to accommodate few passengers who have connections in earlier 3:30 pm We had to cancel all arrangements made for their pick up and re-book the car with driver from Tokyo. Upon communication with AI they just offered apology. But, didn’t even bother to promise improvements. If it continues like this, AI would soon lose their customer base. AI management should seriously think about their ground services and delays which cost their customers a huge amount of money.",Vistara,2023,8
Solo Leisure,Economy Class,Bangkok to Johannesburg via Mumbai,2023-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Worst experience of my life. Freezing aircon, rude staff, horrible food, old seats no blankets. Served drinks to passengers around me and passed me twice ignoring me. Rang bell nobody came while I could see them laugh in the kitchen and drink themselves not attending to my call. After complaining still no service handed out peanuts around me and still ignored me. Will never fly with them again. Mumbai airport just as bad service kept us in holding transit with no food or water for 4 hours while waiting to connect to next flight. Nearly missed my next flight as I had to ask for my boarding pass 3 times.",Vistara,2023,8
Couple Leisure,Economy Class,Delhi to Melbourne,2023-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," Worst experience ever with Air India, old seats, system does not work properly, flight was delayed almost 5-6 hours because of air conditioning issues.",Vistara,2023,8
Family Leisure,Economy Class,Tel Aviv to Bangkok via Delhi,2023-08-01,1.0,1.0,1.0,1.0,1.0,3.0,0,2.0,"  Old and very low cost aircraft. Seats are not comfortable at all. Not enough space. I’ve ask for kosher food. From Bangkok I received 2 apples and pear plus orange. For 6 hours transit flight  lunch, include bread plus humus. ",Vistara,2023,8
Solo Leisure,Economy Class,Vancouver to Delhi,2023-06-01,2.0,3.0,4.0,1.0,2.0,3.0,0,3.0,"  They don't have any name change policy and even if they promise to refund anything, they will take two months just to let you know that they wont refund anything. They have IFE screens in front of each seat but they don't work. Ratio of screens working is 1 screen per 6 screens. - you can find buses with better seats quality than an international Air India flight. Air Hostess service was nice.",Vistara,2023,6
Business,Economy Class,London Heathrow to Delhi,2023-08-01,4.0,5.0,5.0,4.0,4.0,4.0,1,10.0," Though my flight was delayed by 3 hours due to some technical issue I want to leave this feedback just for the cabin crew and the wonderful job they did. I was flying with my whole team of 18 people and they took care of us throughout the flight. Special mention to Mrs. Khushboo, most humble and hard working air hostess I've ever seen. She took care of me and my team and I can't ask for more. The respect, kindness and service, Top class. Keep up the good work.",Vistara,2023,8
Couple Leisure,Economy Class,Mumbai to Toronto via Delhi,2023-08-01,3.0,1.0,1.0,1.0,1.0,1.0,0,1.0," Worst airlines ever. This is not the first time am travelling in international flight. Their crew thinks that we are first timers and judge on our requests for the services. I paid INR 2.10 Lacs for this flight. What is more worst is for my flight from Delhi to Toronto which is 14 hours long and in return what I get is unmanaged toilets without paper rolls, inflight infotainment not working properly, in fact the passenger lady sitting next to me her screen would not even turn on. Ear jacks not working I watched the movie without sound. The beverage services is ridiculous, I asked for extra beer and the air hostess was like she would give it in another round, well another round never came. If these idiots cant give 6 cans of beer and better flight infotainment then why am I paying 200k for the ticket. There are far better airlines which am going to opt for but definitely not Air India anymore. Pathetic and unprofessional is at its peak.",Vistara,2023,8
Business,Economy Class,Dubai to Kochi,2023-07-01,1.0,1.0,1.0,1.0,3.0,1.0,0,3.0,"  Disappointing Experience. I recently traveled on Air India from Cochin to Dubai on July 12th, and returned from Dubai to Cochin on July 17th. I am writing to express my disappointment with the overall experience and share my feedback regarding the flight. When I booked my tickets, I had high expectations, considering that Tata Group had taken over Air India. However, I was disheartened to discover that the flight experience was no different from a low-budget airline, especially when compared to the services provided by airlines like Emirates or Qatar Airways. It was quite disconcerting to find that Air India, which is still considered a low-cost carrier, had higher prices compared to other budget airlines. Furthermore, I would like to bring to your attention an incident that occurred during my return journey. During check-in, I had checked in baggage weighing 26.5 kg and carried a hand luggage of 7 kg. At no point during the check-in process did the counter staff inform me that there was an opportunity to accommodate an additional 4 kg of weight, which would have allowed me to make purchases from the duty-free area. Instead, I was informed just before boarding that there would be a weight check, and any excess weight would be subject to an additional charge of 50 dirhams per kilogram. This approach to charging passengers for excess weight without prior information or the chance to adjust the baggage is disheartening, especially considering the concept of making money seems to overshadow the overall passenger experience. To comply with the sudden weight restriction, I had to rush back to the duty-free area and drop the items I had purchased. I was warned by your staff that I might face deportation if I delayed the process. As a Gold member of Qatar Airways, I am familiar with the rules and consequences of deportations, so I complied without any arguments and quickly resolved the issue. This incident has left a significant impact on my perception of Indian airlines. I now question the level of service and commitment to passenger comfort offered by airlines, whether it is Air India under Tata ownership or any other Indian carrier. The flight experience itself was underwhelming, with seats resembling those found on ordinary buses, causing discomfort and subsequent back pain. Considering the recent acquisition by Tata Group, I had hoped for a significant improvement in Air India's services, but unfortunately, it seems that Air India remains unchanged. It is disheartening to witness a lack of luxury or any additional features that are commonly associated with globally recognized and exclusive airlines. This experience has left me deeply disappointed, and I feel compelled to share my concerns with you. I hope that my feedback can serve as a catalyst for necessary improvements in your services and customer experience. As a frequent traveler, I believe it is essential for airlines to prioritize passenger comfort, communication, and transparency to build a positive reputation. Thank you for your attention to this matter, and I sincerely hope that Air India will take necessary steps to enhance its services in the future. ",Vistara,2023,7
Family Leisure,Economy Class,Singapore to New York via Mumbai ,2023-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Air India delayed our flight.  They provided no food or drinks we weren't allowed to leave the airport as we were in transit. They delayed the flight due to operational needs (waited for connecting passengers) and are refusing compensation. The bathrooms on the plane were disgusting. Pee all over the seats, no toilet paper, no paper towel and no tissues in all the bathrooms. With used toilet paper all over the floor. Due to this delay we missed our connecting flights",Vistara,2023,7
Solo Leisure,Economy Class,New Delhi to Vancouver,2023-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,  Horrible service from New Delhi to Vancouver on 20th July 2023. In flight entertainment not available at all. Completely unacceptable for a 14.5 hours flight. Personal reading lights and help button was not functional. No beverages were provided in the flight. Passengers had to go and Request the crew for same. Uncooperative and rude crew. Dirty interiors,Vistara,2023,7
Couple Leisure,Economy Class,Newark to Chennai via Mumbai,2023-07-01,3.0,5.0,5.0,1.0,3.0,4.0,1,5.0,"  Newark to Chennai via Mumbai, outstanding service from staff, especially Abhishek and Venkatesan, truly stood out. TSA crew at Newark Airport weren't the friendliest bunch, and their impatience with non-English speakers was a real downer. Unfortunately, the plane was showing its age. Two out of three in-flight entertainment screens in my row were dead, which is something of a letdown given that we were on a 15 hour flight. But the food and overall service were top-notch. Upon landing in Chennai, we faced the dreaded baggage problem. Our checked-in bags seemed to have gone on their own adventure somewhere else. After waiting for what felt like an eternity, the Air India representatives finally approached us. They were polite, but there was something off about their response. I couldn't shake the feeling that they weren't entirely transparent with us. But an Air India staff member at the Chennai airport handled the situation with kindness, efficiency, and a determination to sort things out. His professionalism left a lasting impression on me.  I'm willing to fly with them again and eager to witness positive changes. Fingers crossed for a smoother ride next time!",Vistara,2023,7
Business,Economy Class,Bengaluru to Copenhagen via Delhi,2023-07-01,1.0,2.0,1.0,1.0,2.0,1.0,0,1.0, At 0:39 in the morning you are informed a 6 hours delayed of your connecting flight leaving you in Delhi airport for 8 hours later delayed 1 more hour so 9 hours. Originally I was to be fetched in CPH at comfortably 18:45. Instead I had to book a taxi mid night. Never have I experienced such poor service. Now talking about the seats - my monitor was falling apart only kept together by duct tape. The toilet - there were a small lake of urine on the floor. Not just one but the three I tried before looking for a bag and duct tape. No I just had to wait out the experience of flying with Air India. But never ever again Air India.,Vistara,2023,7
Couple Leisure,Economy Class,Mumbai to London,2023-07-01,2.0,1.0,2.0,1.0,5.0,1.0,0,3.0,"  Bad treatment, took Air India flt no. 129 on 15th July 5.45 am departure, what I experienced was not expected from Air India. After breakfast, we had to ask for a cup of tea, which very conveniently got over just before our front row, the Steward too conveniently did turn up. Finally I had to request staff who in turn was kind enough to provide us tea, even though she was not in charge of the muddle row. It didn't end here, the same thing he repeated the same after the afternoon meals, when I requested him he said tea is over and will get it, he didn't turn up with tea till end. This type of treatment is not expected from Air India, it is also very strange that we in the middle row is served meals at the end, by this time the both the other rows are almost done with their meals, Air India is going from bad to worst, no value for money, AI is not charging anything less, than other Airlines, then why such nasty treatment to their own countrymen",Vistara,2023,7
Solo Leisure,Economy Class,Gatwick to Goa,2023-05-01,3.0,2.0,1.0,2.0,3.0,1.0,0,1.0,  Requested a gluten free meal and was given a regular meal. I even double checked at check in about my request and although the staff couldn’t see my request was told it will be fine which it wasn’t.,Vistara,2023,5
